run,modelname,treatname,angle,spd,channel,variable,mean
20120609124131,nothing,fine,0,20,W,mu_3,-0.00503386004515
20120609124131,nothing,fine,0,200,U,mu_1,-0.0153498871332
20120609124131,nothing,fine,0,200,V,mu_2,-4.87954158708
20120609124131,nothing,fine,0,200,W,mu_3,0.00558256641778
20120609124131,nothing,fine,0,110,U,mu_1,-0.00522139260288
20120609124131,nothing,fine,0,110,V,mu_2,-2.33042021184
20120609124131,nothing,fine,0,110,W,mu_3,0.00736933495399
20120609124131,nothing,fine,0,70,U,mu_1,0.0108734155235
20120609124131,nothing,fine,0,70,V,mu_2,-1.33838166348
20120609124131,nothing,fine,0,70,W,mu_3,0.00995832609828
20120609124131,nothing,fine,0,60,U,mu_1,0.00476992533426
20120609124131,nothing,fine,0,60,V,mu_2,-1.12993227991
20120609124131,nothing,fine,0,60,W,mu_3,0.019793366904
20120609124131,nothing,fine,0,50,U,mu_1,-0.000281298836604
20120609124131,nothing,fine,0,50,V,mu_2,-0.900569543323
20120609124131,nothing,fine,0,50,W,mu_3,-0.0132922382358
20120609124131,nothing,fine,0,160,U,mu_1,-0.00834519881924
20120609124131,nothing,fine,0,160,V,mu_2,-3.7029137003
20120609124131,nothing,fine,0,160,W,mu_3,0.0193870463622
20120609124131,nothing,fine,0,130,U,mu_1,0.00756770833333
20120609124131,nothing,fine,0,130,V,mu_2,-2.84864236111
20120609124131,nothing,fine,0,130,W,mu_3,0.0261319444444
20120609124131,nothing,fine,0,100,U,mu_1,0.000479166666667
20120609124131,nothing,fine,0,100,V,mu_2,-2.08400347222
20120609124131,nothing,fine,0,100,W,mu_3,0.00567534722222
20120609124131,nothing,fine,0,240,U,mu_1,-0.0201146032297
20120609124131,nothing,fine,0,240,V,mu_2,-5.98611217225
20120609124131,nothing,fine,0,240,W,mu_3,0.000161486369161
20120609124131,nothing,fine,0,180,U,mu_1,-0.00869270833333
20120609124131,nothing,fine,0,180,V,mu_2,-4.29961284722
20120609124131,nothing,fine,0,180,W,mu_3,0.023078125
20120609124131,nothing,fine,0,0,U,mu_1,0.0118763250883
20120609124131,nothing,fine,0,0,V,mu_2,-0.048316254417
20120609124131,nothing,fine,0,0,W,mu_3,0.0036554770318
20120609124131,nothing,fine,0,190,U,mu_1,-0.00975
20120609124131,nothing,fine,0,190,V,mu_2,-4.60740972222
20120609124131,nothing,fine,0,190,W,mu_3,0.0105920138889
20120609124131,nothing,fine,0,80,U,mu_1,0.00275568675117
20120609124131,nothing,fine,0,80,V,mu_2,-1.61427157493
20120609124131,nothing,fine,0,80,W,mu_3,0.00436707761764
20120609124131,nothing,fine,0,0,U,mu_1,0.0118763250883
20120609124131,nothing,fine,0,0,V,mu_2,-0.048316254417
20120609124131,nothing,fine,0,0,W,mu_3,0.0036554770318
20120609124131,nothing,fine,0,90,U,mu_1,0.00180065983678
20120609124131,nothing,fine,0,90,V,mu_2,-1.83656711235
20120609124131,nothing,fine,0,90,W,mu_3,0.00626497655843
20120609124131,nothing,fine,0,250,U,mu_1,-0.0221826706025
20120609124131,nothing,fine,0,250,V,mu_2,-6.26510852579
20120609124131,nothing,fine,0,250,W,mu_3,0.00490883833999
20120609124131,nothing,fine,0,120,U,mu_1,0.00290451388889
20120609124131,nothing,fine,0,120,V,mu_2,-2.56767013889
20120609124131,nothing,fine,0,120,W,mu_3,0.0136510416667
20120609124131,nothing,fine,0,40,U,mu_1,0.0170480986282
20120609124131,nothing,fine,0,40,V,mu_2,-0.63884528564
