run,modelname,treatname,angle,spd,channel,variable,mean
20120515174648,rect2,coarse,0,150,TY,mu_5,-0.0147573035153
20120515174648,rect2,coarse,0,150,TZ,mu_6,0.0316540272532
20120518124924,oncorhynchus,fine,0,200,FX,mu_1,-0.000612517871887
20120518124924,oncorhynchus,fine,0,200,FY,mu_2,-0.0067733257426
20120518124924,oncorhynchus,fine,0,200,FZ,mu_3,-0.00562468292869
20120518124924,oncorhynchus,fine,0,200,TX,mu_4,0.58270567506
20120518124924,oncorhynchus,fine,0,200,TY,mu_5,-0.0295587727402
20120518124924,oncorhynchus,fine,0,200,TZ,mu_6,0.00578527368118
20120518124924,oncorhynchus,fine,0,0,FX,mu_1,0.000185260632596
20120518124924,oncorhynchus,fine,0,0,FY,mu_2,0.000706028534941
20120518124924,oncorhynchus,fine,0,0,FZ,mu_3,-0.00222387585022
20120518124924,oncorhynchus,fine,0,0,TX,mu_4,0.00595740470014
20120518124924,oncorhynchus,fine,0,0,TY,mu_5,-0.000749699908792
20120518124924,oncorhynchus,fine,0,0,TZ,mu_6,0.00455034789025
20120518124924,oncorhynchus,fine,0,100,FX,mu_1,-0.00139893642654
20120518124924,oncorhynchus,fine,0,100,FY,mu_2,-0.00250091400658
20120518124924,oncorhynchus,fine,0,100,FZ,mu_3,0.00495537411813
20120518124924,oncorhynchus,fine,0,100,TX,mu_4,0.0857791320628
20120518124924,oncorhynchus,fine,0,100,TY,mu_5,0.000605693425098
20120518124924,oncorhynchus,fine,0,100,TZ,mu_6,-0.00119942760011
20120518124924,oncorhynchus,fine,0,250,FX,mu_1,-0.000736712830077
20120518124924,oncorhynchus,fine,0,250,FY,mu_2,-0.0103310063503
20120518124924,oncorhynchus,fine,0,250,FZ,mu_3,-0.0105401197969
20120518124924,oncorhynchus,fine,0,250,TX,mu_4,0.971459940267
20120518124924,oncorhynchus,fine,0,250,TY,mu_5,-0.0507269904652
20120518124924,oncorhynchus,fine,0,250,TZ,mu_6,0.00631210695455
20120518124924,oncorhynchus,fine,0,150,FX,mu_1,-0.000567887872832
20120518124924,oncorhynchus,fine,0,150,FY,mu_2,-0.00386941209151
20120518124924,oncorhynchus,fine,0,150,FZ,mu_3,-0.000734570944744
20120518124924,oncorhynchus,fine,0,150,TX,mu_4,0.274863939269
20120518124924,oncorhynchus,fine,0,150,TY,mu_5,-0.0151315323906
20120518124924,oncorhynchus,fine,0,150,TZ,mu_6,0.00222012361782
20120518124924,oncorhynchus,fine,0,50,FX,mu_1,-0.000985915346227
20120518124924,oncorhynchus,fine,0,50,FY,mu_2,-0.00214356685803
20120518124924,oncorhynchus,fine,0,50,FZ,mu_3,0.00794157223888
20120518124924,oncorhynchus,fine,0,50,TX,mu_4,-0.00535262438875
20120518124924,oncorhynchus,fine,0,50,TY,mu_5,0.000262063826642
20120518124924,oncorhynchus,fine,0,50,TZ,mu_6,-0.00069213532438
20120520091714,pong890,lrg,0,50,FX,mu_1,-0.000355883601346
20120520091714,pong890,lrg,0,50,FY,mu_2,-0.000448188686599
20120520091714,pong890,lrg,0,50,FZ,mu_3,0.00731487412714
20120520091714,pong890,lrg,0,50,TX,mu_4,-0.00558585081825
20120520091714,pong890,lrg,0,50,TY,mu_5,-0.00462786343581
20120520091714,pong890,lrg,0,50,TZ,mu_6,-0.0145628288857
20120520091714,pong890,lrg,0,0,FX,mu_1,0.000552127710692
20120520091714,pong890,lrg,0,0,FY,mu_2,-0.00116465914267
20120520091714,pong890,lrg,0,0,FZ,mu_3,-0.00232194313994
20120520091714,pong890,lrg,0,0,TX,mu_4,0.0076842718971
20120520091714,pong890,lrg,0,0,TY,mu_5,-0.00517570527149
20120520091714,pong890,lrg,0,0,TZ,mu_6,-0.00470920292043
20120520091714,pong890,lrg,0,100,FX,mu_1,-0.000657520345169
20120520091714,pong890,lrg,0,100,FY,mu_2,0.000745429894924
20120520091714,pong890,lrg,0,100,FZ,mu_3,0.00223787051119
20120520091714,pong890,lrg,0,100,TX,mu_4,-0.00855598521675
20120520091714,pong890,lrg,0,100,TY,mu_5,0.0015685629083
20120520091714,pong890,lrg,0,100,TZ,mu_6,0.00915647785625
20120520091714,pong890,lrg,0,200,FX,mu_1,-0.000395027999877
20120520091714,pong890,lrg,0,200,FY,mu_2,0.000142644997539
20120520091714,pong890,lrg,0,200,FZ,mu_3,0.000894411241865
20120520091714,pong890,lrg,0,200,TX,mu_4,0.000705713506049
20120520091714,pong890,lrg,0,200,TY,mu_5,0.00239768157995
20120520091714,pong890,lrg,0,200,TZ,mu_6,0.00473737091443
20120520091714,pong890,lrg,0,150,FX,mu_1,-0.000568263066043
20120520091714,pong890,lrg,0,150,FY,mu_2,0.000446440337683
20120520091714,pong890,lrg,0,150,FZ,mu_3,0.00527357905197
20120520091714,pong890,lrg,0,150,TX,mu_4,-0.00310727522357
20120520091714,pong890,lrg,0,150,TY,mu_5,0.00197199868711
20120520091714,pong890,lrg,0,150,TZ,mu_6,-0.00983554367572
20120520091714,pong890,lrg,0,250,FX,mu_1,-0.000406280248344
20120520091714,pong890,lrg,0,250,FY,mu_2,-0.000165396779329
20120520091714,pong890,lrg,0,250,FZ,mu_3,0.00102810687769
20120520091714,pong890,lrg,0,250,TX,mu_4,0.00355306983202
20120520091714,pong890,lrg,0,250,TY,mu_5,-0.000280065839873
20120520091714,pong890,lrg,0,250,TZ,mu_6,0.00349954948579
20120519085356,pong2,med,0,100,FX,mu_1,-0.0011574574787
20120519085356,pong2,med,0,100,FY,mu_2,-0.00249093167982
20120519085356,pong2,med,0,100,FZ,mu_3,0.00571071699999
20120519085356,pong2,med,0,100,TX,mu_4,0.00086249019676
20120519085356,pong2,med,0,100,TY,mu_5,0.00317248256126
20120519085356,pong2,med,0,100,TZ,mu_6,0.00176475113787
20120519085356,pong2,med,0,0,FX,mu_1,0.00111948457584
20120519085356,pong2,med,0,0,FY,mu_2,0.000565494892791
20120519085356,pong2,med,0,0,FZ,mu_3,-0.000689271382728
20120519085356,pong2,med,0,0,TX,mu_4,0.00809893355407
20120519085356,pong2,med,0,0,TY,mu_5,-0.00492378778095
20120519085356,pong2,med,0,0,TZ,mu_6,-0.00935198307912
20120519085356,pong2,med,0,200,FX,mu_1,-0.00186004201327
20120519085356,pong2,med,0,200,FY,mu_2,-0.00611847247064
20120519085356,pong2,med,0,200,FZ,mu_3,-0.00110526425293
20120519085356,pong2,med,0,200,TX,mu_4,0.0770757621893
20120519085356,pong2,med,0,200,TY,mu_5,0.00136493015714
20120519085356,pong2,med,0,200,TZ,mu_6,0.020097824305
20120519085356,pong2,med,0,50,FX,mu_1,0.000843418696282
20120519085356,pong2,med,0,50,FY,mu_2,-0.000983560256835
20120519085356,pong2,med,0,50,FZ,mu_3,0.00711919365579
20120519085356,pong2,med,0,50,TX,mu_4,-0.00648082569666
20120519085356,pong2,med,0,50,TY,mu_5,-0.00831235725983
20120519085356,pong2,med,0,50,TZ,mu_6,-0.0016243458419
20120519085356,pong2,med,0,250,FX,mu_1,-0.00274856677688
20120519085356,pong2,med,0,250,FY,mu_2,-0.00893429001966
20120519085356,pong2,med,0,250,FZ,mu_3,-0.000501876908614
20120519085356,pong2,med,0,250,TX,mu_4,0.129881742849
20120519085356,pong2,med,0,250,TY,mu_5,0.00268183442591
20120519085356,pong2,med,0,250,TZ,mu_6,0.0202688972364
20120519085356,pong2,med,0,150,FX,mu_1,-0.00147152653564
20120519085356,pong2,med,0,150,FY,mu_2,-0.00402440863672
20120519085356,pong2,med,0,150,FZ,mu_3,0.00223142284654
20120519085356,pong2,med,0,150,TX,mu_4,0.0320592611591
20120519085356,pong2,med,0,150,TY,mu_5,0.00446470048832
20120519085356,pong2,med,0,150,TZ,mu_6,0.00577252004387
20120518083023,anchiornis,med,0,0,FX,mu_1,0.00161631735194
20120518083023,anchiornis,med,0,0,FY,mu_2,0.00107035272982
20120518083023,anchiornis,med,0,0,FZ,mu_3,-0.00371645993394
20120518083023,anchiornis,med,0,0,TX,mu_4,0.0132276629795
20120518083023,anchiornis,med,0,0,TY,mu_5,-0.00813793736712
20120518083023,anchiornis,med,0,0,TZ,mu_6,-0.00605907013325
20120518083023,anchiornis,med,0,50,FX,mu_1,-0.000989619138302
20120518083023,anchiornis,med,0,50,FY,mu_2,-0.00213222582495
20120518083023,anchiornis,med,0,50,FZ,mu_3,0.0047725800649
20120518083023,anchiornis,med,0,50,TX,mu_4,-0.00617400402132
20120518083023,anchiornis,med,0,50,TY,mu_5,0.00435140531107
20120518083023,anchiornis,med,0,50,TZ,mu_6,0.00445269657998
20120518083023,anchiornis,med,0,250,FX,mu_1,-0.0018486655999
20120518083023,anchiornis,med,0,250,FY,mu_2,-0.00993944460304
20120518083023,anchiornis,med,0,250,FZ,mu_3,0.00543409249091
20120518083023,anchiornis,med,0,250,TX,mu_4,0.781212628479
20120518083023,anchiornis,med,0,250,TY,mu_5,-0.0188029589202
20120518083023,anchiornis,med,0,250,TZ,mu_6,-0.0374762543356
20120518083023,anchiornis,med,0,100,FX,mu_1,-0.00200498363406
20120518083023,anchiornis,med,0,100,FY,mu_2,-0.0033807335182
20120518083023,anchiornis,med,0,100,FZ,mu_3,0.00872816745595
20120518083023,anchiornis,med,0,100,TX,mu_4,0.0575648803857
20120518083023,anchiornis,med,0,100,TY,mu_5,0.0106272319356
20120518083023,anchiornis,med,0,100,TZ,mu_6,-0.00924782250919
20120518083023,anchiornis,med,0,150,FX,mu_1,-0.00131450795087
20120518083023,anchiornis,med,0,150,FY,mu_2,-0.00395962042726
20120518083023,anchiornis,med,0,150,FZ,mu_3,0.0048711387033
20120518083023,anchiornis,med,0,150,TX,mu_4,0.227055161022
20120518083023,anchiornis,med,0,150,TY,mu_5,0.0047328169503
20120518083023,anchiornis,med,0,150,TZ,mu_6,-0.0216710287745
20120518083023,anchiornis,med,0,200,FX,mu_1,-0.00124854405962
20120518083023,anchiornis,med,0,200,FY,mu_2,-0.00671459382489
20120518083023,anchiornis,med,0,200,FZ,mu_3,0.00824116939469
20120518083023,anchiornis,med,0,200,TX,mu_4,0.474250698846
20120518083023,anchiornis,med,0,200,TY,mu_5,0.00179086469146
20120518083023,anchiornis,med,0,200,TZ,mu_6,-0.0437621902603
20120516074717,rect4,no,0,200,FX,mu_1,-0.000703405973475
20120516074717,rect4,no,0,200,FY,mu_2,-0.0081260591929
20120516074717,rect4,no,0,200,FZ,mu_3,-0.0149787975229
20120516074717,rect4,no,0,200,TX,mu_4,0.831916145128
20120516074717,rect4,no,0,200,TY,mu_5,-0.0172190206189
20120516074717,rect4,no,0,200,TZ,mu_6,0.0132326398375
20120516074717,rect4,no,0,150,FX,mu_1,-0.00141454929589
20120516074717,rect4,no,0,150,FY,mu_2,-0.0062792950901
20120516074717,rect4,no,0,150,FZ,mu_3,0.00269256826645
20120516074717,rect4,no,0,150,TX,mu_4,0.393579473421
20120516074717,rect4,no,0,150,TY,mu_5,-0.00499259406058
20120516074717,rect4,no,0,150,TZ,mu_6,-0.0086568756511
20120516074717,rect4,no,0,0,FX,mu_1,-9.67270404796e-05
20120516074717,rect4,no,0,0,FY,mu_2,-0.000486191573609
20120516074717,rect4,no,0,0,FZ,mu_3,-0.000650606435263
20120516074717,rect4,no,0,0,TX,mu_4,-0.00520919325228
20120516074717,rect4,no,0,0,TY,mu_5,-0.000147907270704
20120516074717,rect4,no,0,0,TZ,mu_6,0.00604034613258
20120516074717,rect4,no,0,50,FX,mu_1,-0.00218434557629
20120516074717,rect4,no,0,50,FY,mu_2,-0.00573740863182
20120516074717,rect4,no,0,50,FZ,mu_3,0.0189407460996
20120516074717,rect4,no,0,50,TX,mu_4,-0.0290843483706
20120516074717,rect4,no,0,50,TY,mu_5,0.00206565666652
20120516074717,rect4,no,0,50,TZ,mu_6,0.00359268135279
20120516074717,rect4,no,0,250,FX,mu_1,-0.000187779446716
20120516074717,rect4,no,0,250,FY,mu_2,-0.0105138988111
