run,modelname,treatname,angle,spd,centerfreq,value
20120628072400,nothing,coarse,0,250,4096.0,1.0668139154e-05
20120628072400,nothing,coarse,0,250,8192.0,6.00740681005e-06
20120628072400,nothing,coarse,0,250,16384.0,1.09837479561e-05
20120628072400,nothing,med,0,250,8.0,0.00911747447868
20120628072400,nothing,med,0,250,16.0,0.0284438815033
20120628072400,nothing,med,0,250,32.0,0.0857305494723
20120628072400,nothing,med,0,250,64.0,0.183218974144
20120628072400,nothing,med,0,250,128.0,0.0686138164597
20120628072400,nothing,med,0,250,256.0,0.0233899894644
20120628072400,nothing,med,0,250,512.0,0.00565242629521
20120628072400,nothing,med,0,250,1024.0,0.000795011525614
20120628072400,nothing,med,0,250,2048.0,0.000106424777367
20120628072400,nothing,med,0,250,4096.0,1.60026976338e-05
20120628072400,nothing,med,0,250,8192.0,3.25807728404e-06
20120628072400,nothing,med,0,250,16384.0,3.00246324391e-06
